cbsa_code,cbsa_name,year,total_employed,area_sq_miles,total_employment_density,log_employment_density,manufacturing_density,professional_density,healthcare_density,manufacturing_share,professional_share,healthcare_share,industry_diversity,employment_density_z
31420,"Macon-Bibb County, GA Metro Area",2016,91292,1738.5544903063244,52.510289731508394,3.979873966838706,3.5868878627446694,0.5924461992666789,0.4216146253033744,0.06830828550146782,0.01128247820181396,0.00802918108925207,0.9600669925847146,-0.17156290247987488
31420,"Macon-Bibb County, GA Metro Area",2017,91073,1738.5544903063244,52.38432301535364,3.97751712637263,3.6593618638200107,0.516521055282988,0.3037005759347635,0.06985604954267456,0.009860222019698484,0.005797547022718039,0.9581833398126111,-0.17267467147677287
31420,"Macon-Bibb County, GA Metro Area",2018,93141,1738.5544903063244,53.573816937764796,3.999554224468835,3.674316816422859,0.533201579340011,0.29679829011806436,0.06858418956206182,0.009952652430186492,0.005539987760492157,0.957064051658088,-0.16217632314076796
31420,"Macon-Bibb County, GA Metro Area",2019,94743,1738.5544903063244,54.49527209429413,4.016297829633532,3.4574700036815598,0.5659874369693321,0.2962230996333394,0.06344532049861204,0.010385991577214147,0.005435757786854965,0.9593959762187176,-0.15404365677989768
31420,"Macon-Bibb County, GA Metro Area",2021,97575,1738.5544903063244,56.12421154703514,4.045228046879032,3.9038178198281064,0.7138113915436393,0.2766666231526918,0.06955675121701256,0.01271842172687676,0.0049295413784268514,0.9587717921838769,-0.139666808381655
31420,"Macon-Bibb County, GA Metro Area",2022,98547,1738.5544903063244,56.68329669818777,4.054967646305058,3.696749245327131,0.6654953908267451,0.3882535771893284,0.06521761190092037,0.01174059078409287,0.006849523577582271,0.9643245433646906,-0.13473238160090223
31420,"Macon-Bibb County, GA Metro Area",2023,99089,1738.5544903063244,56.995049940908686,4.060357661057854,4.053942536341314,0.6683713432503697,0.3859528152504287,0.07112797586008537,0.011726831434367084,0.006771690096781681,0.9667477811439147,-0.13198088024784868
31420,"Macon-Bibb County, GA Metro Area",2024,99255,1738.5544903063244,57.09053156137302,4.062002682614546,4.0924802988178834,0.7558002969285593,0.4509493400243459,0.0716840461437711,0.01323862777693819,0.007898846405722634,0.966321075590805,-0.13113816950134155
31460,"Madera, CA Metro Area",2011,52804,2152.313587819057,24.533599703520146,3.2399952202767675,1.3822335262096137,0.3275544994883286,0.07712630768093978,0.05634042875539732,0.013351261268085751,0.003143701234754943,0.9651188889388953,-0.41848222814308944
31460,"Madera, CA Metro Area",2012,52135,2152.313587819057,24.222771391239732,3.2277472131291085,1.3696888858036778,0.3043236839217805,0.11057868209676909,0.05654550685719766,0.012563536971324446,0.0045650714491224705,0.9643977924718665,-0.421225566157291
31460,"Madera, CA Metro Area",2013,52029,2152.313587819057,24.17352206223865,3.225792730316826,1.402676643908176,0.29828367187447796,0.11987100832338834,0.05802533202636991,0.012339272328893501,0.004958772991985239,0.9662410696468955,-0.4216602355586444
31460,"Madera, CA Metro Area",2014,52544,2152.313587819057,24.412799462574096,3.23525296295091,1.4417044140599768,0.28202210097789426,0.12684025299335278,0.05905526796589525,0.011552222898903775,0.005195645554202192,0.9691880905844378,-0.419548398372824
31460,"Madera, CA Metro Area",2015,53032,2152.313587819057,24.639532222503608,3.244135387833923,1.4863075799477492,0.1960680833816662,0.15285876642788668,0.0603220696937698,0.007957459647005581,0.006203801478352693,0.9670487779591364,-0.41754727886470683
31460,"Madera, CA Metro Area",2016,54488,2152.313587819057,25.316013571801488,3.270177634947949,1.500710685599009,0.14914183593723898,0.1588987784751892,0.05927910732638379,0.005891205403024519,0.006276611363970048,0.9699151796607054,-0.4115767255781933
31460,"Madera, CA Metro Area",2017,56076,2152.313587819057,26.05382427419506,3.297828373273506,1.3961720155495425,0.1640095578998298,0.09942789062482599,0.053587987730936586,0.006295028176046794,0.0038162493758470647,0.9670159120130857,-0.40506488586735306
31460,"Madera, CA Metro Area",2018,57799,2152.313587819057,26.854358178618305,3.3269894416929877,1.3975658644835354,0.19653269969299716,0.12823410192734566,0.05204242287928857,0.007318465717399955,0.0047751691205730204,0.9661557792776454,-0.3979994577679968
31460,"Madera, CA Metro Area",2019,58268,2152.313587819057,27.072263228632526,3.3347820151474856,1.1861654428279473,0.24067124926943861,0.13892027708795782,0.04381478684698291,0.00888995675156175,0.00513146152261962,0.9624636524916654,-0.3960762506997449
31460,"Madera, CA Metro Area",2021,58744,2152.313587819057,27.293420592826067,3.342629289733689,1.4040704928421688,0.27365900737393695,0.11383099627608582,0.051443551681873895,0.010026555903581643,0.004170638703527169,0.963849508796413,-0.3941243390483847
31460,"Madera, CA Metro Area",2022,59826,2152.313587819057,27.796135441686168,3.360241192085583,1.5420615373074649,0.30200060236512566,0.15936339478652017,0.05547755156620867,0.01086484137331595,0.005733293216995955,0.9644728191904508,-0.389687430630797
31500,"Madison, IN Micro Area",2011,14510,362.6987333468321,40.00565391036189,3.7137099574496713,1.2682702135607493,0.17645498623453904,0.31706755339018733,0.03170227429359063,0.0044107512060647825,0.007925568573397657,0.966369342467302,-0.2819275039224565
31500,"Madison, IN Micro Area",2012,14375,362.6987333468321,39.63344417377341,3.7045914756359064,1.1717713929637357,0.3087962259104433,0.28673935263112593,0.029565217391304348,0.007791304347826087,0.007234782608695652,0.9625121294517959,-0.2852125879360323
31500,"Madison, IN Micro Area",2013,14276,362.6987333468321,39.36049036694186,3.69785134523672,1.4833247280340935,0.31431044423027266,0.2812251343112966,0.03768562622583357,0.007985430092462874,0.0071448585037825725,0.9673433139073657,-0.28762164954598796
31500,"Madison, IN Micro Area",2014,14125,362.6987333468321,38.94416688379474,3.6874826511335708,1.455753636434947,0.28673935263112593,0.26468247935180855,0.03738053097345133,0.00736283185840708,0.006796460176991151,0.9644843806092881,-0.29129607685006165
31500,"Madison, IN Micro Area",2015,14381,362.6987333468321,39.6499868287329,3.7049985119773563,1.9410048485799292,0.31706755339018733,0.21505451447334442,0.04895348028648912,0.007996662262707739,0.00542382309992351,0.9635544954510897,-0.28506658420209563
31500,"Madison, IN Micro Area",2016,14332,362.6987333468321,39.51488847989708,3.70166952334558,1.690107915027694,0.2701966976716379,0.1709407679147097,0.04277142059726486,0.006837845380965671,0.004325983812447669,0.9689768407407168,-0.2862589480292454
31500,"Madison, IN Micro Area",2017,14465,362.6987333468321,39.88158399816573,3.71067969265373,1.7948780631044516,0.2619253701918939,0.1874834228741977,0.045005184929139304,0.006567576909782233,0.004701002419633598,0.9722693955121777,-0.28302253192698185
31500,"Madison, IN Micro Area",2018,14454,362.6987333468321,39.85125579740667,3.7099375625080784,1.5081387104733257,0.28398224347121126,0.20126896867377106,0.037844195378441955,0.0071260550712605505,0.005050505050505051,0.9747346132491449,-0.2832902054391991
31500,"Madison, IN Micro Area",2019,14357,362.6987333468321,39.58381620889495,3.7033693715949325,1.295841305159896,0.31706755339018733,0.2178116236332591,0.032736644145712895,0.008010029950546772,0.005502542313853869,0.9742515709602744,-0.2856505991378424
31500,"Madison, IN Micro Area",2021,14722,362.6987333468321,40.5901610522638,3.7278636261268323,1.3675261433176775,0.2894964617910406,0.38048106406822474,0.03369107458225785,0.007132183127292488,0.009373726395870126,0.972148359116653,-0.2767687053233597
31500,"Madison, IN Micro Area",2022,15116,362.6987333468321,41.676462061270186,3.7536475284631727,1.698379242507438,0.2977677892707846,0.7333910365373029,0.040751521566552,0.007144747287642234,0.017597247949192908,0.9711129713929313,-0.26718112679484946
31500,"Madison, IN Micro Area",2023,14942,362.6987333468321,41.19672506744503,3.7423426129936916,1.8472631371428303,0.31431044423027266,0.7582050189765348,0.04484004818632044,0.007629500736179896,0.018404497389907643,0.9671863673970262,-0.2714152350790139
31500,"Madison, IN Micro Area",2024,15110,362.6987333468321,41.6599194063107,3.753259823831638,1.8362347005031716,0.35566708162899274,0.7140912724179002,0.04407677035076109,0.008537392455327598,0.0171409662475182,0.9747997237115335,-0.26732713052878615
31540,"Madison, WI Metro Area",2011,315868,3380.0854108449535,93.44970958027932,4.548067519091328,4.896325976526976,0.9582598089408383,0.606197699450379,0.05239530436764724,0.010254283434852534,0.006486886927450707,0.9737754916835648,0.18976411411818683
31540,"Madison, WI Metro Area",2012,318648,3380.0854108449535,94.27217400413097,4.556737784857206,4.816150487727048,0.9035274641881198,0.5742458441352786,0.05108772061961789,0.00958424342848535,0.006091361000225955,0.9735683858531665,0.1970230986769845
31540,"Madison, WI Metro Area",2013,340369,3380.0854108449535,100.69834297912448,4.62201100969783,4.981826774546087,0.8842971808966241,0.5896300707684751,0.04947277807320878,0.008781645802056004,0.00585540986400054,0.9725565418101877,0.2537397906200223
31540,"Madison, WI Metro Area",2014,342577,3380.0854108449535,101.35158091001098,4.628413758104384,4.967625949961598,0.8884390880671001,0.5316433703818112,0.04901379835774147,0.008765912480989676,0.005245536040072743,0.9724825486461517,0.2595051999386645
31540,"Madison, WI Metro Area",2015,348873,3380.0854108449535,103.21425573467647,4.646448931234745,5.016737134982956,0.8621083924833599,0.5653703287699728,0.048605079785480676,0.008352609688912584,0.00547763799434178,0.9727216221779176,0.275944972162474
31540,"Madison, WI Metro Area",2016,354239,3380.0854108449535,104.80178958301748,4.661567434054468,4.888929713722554,0.7597441152701676,0.631049142473235,0.046649296096703076,0.007249342957720635,0.00602135846137777,0.9731298482155009,0.28995637904826843
31540,"Madison, WI Metro Area",2017,359540,3380.0854108449535,106.370093148067,4.676281680988436,5.09069976302717,0.818618367193362,0.6615217452274512,0.047858374589753575,0.00769594481837904,0.006219057684819492,0.9729344066555855,0.30379806147495425
31540,"Madison, WI Metro Area",2018,365662,3380.0854108449535,108.18128998361371,4.693009711484525,5.1664374941444455,0.8905100416523382,0.6455458175699009,0.047757218414820245,0.008231645618084461,0.0059672593816147155,0.9734949177013693,0.3197834943774577
31540,"Madison, WI Metro Area",2019,371617,3380.0854108449535,109.94307978362689,4.709017275046045,5.117030458610911,0.9041191652124736,0.6890358428598988,0.04654254245634618,0.0082235204525089,0.006267205213970298,0.9736911947301211,0.33533286597732825
31540,"Madison, WI Metro Area",2021,379839,3380.0854108449535,112.375562694745,4.730705871551937,5.472938624759669,1.0733456581776355,0.604126745865141,0.04870221330616393,0.009551415204863113,0.005375961920708511,0.97728750199775,0.35680170448180115
31540,"Madison, WI Metro Area",2022,381326,3380.0854108449535,112.81549240635199,4.734578649564829,5.375307955741306,1.0523402718130788,0.6118188591817393,0.04764689530742724,0.009327976586962336,0.0054231812150233654,0.9779713510918859,0.36068447787710056
31540,"Madison, WI Metro Area",2023,381897,3380.0854108449535,112.98442304880497,4.736061799135648,5.489506253441573,0.9913950663046462,0.6153690653278616,0.04858639895050236,0.008774617239726942,0.005446494735491507,0.9789878956470606,0.3621754419717313
31540,"Madison, WI Metro Area",2024,386908,3380.0854108449535,114.4669299653232,4.748984168317714,5.3951299400571555,1.0067792929378427,0.5914051738415362,0.047132651689807396,0.008795372543343637,0.005166602913354079,0.9801953554841111,0.3752598921962404
31580,"Madisonville, KY Micro Area",2011,20071,554.2266182157838,36.21442807026189,3.616696537435334,1.526451404884737,0.3644718484476559,0.38792795750616843,0.04215036619999003,0.0100642718349858,0.010711972497633402,0.9675980347986957,-0.3153884647058063
31580,"Madisonville, KY Micro Area",2012,19844,554.2266182157838,35.804848319778635,3.6056295843169752,1.5715593069203382,0.2959078373535424,0.2904948891092703,0.04389236041120742,0.008264462809917356,0.008113283612174964,0.9666838703304846,-0.3190033725341969
31580,"Madisonville, KY Micro Area",2013,19762,554.2266182157838,35.65689440110186,3.601601525268931,1.7159045934342612,0.19486613679379622,0.33379847506344723,0.04812265964983301,0.005465033903451068,0.009361400667948588,0.9649539288815111,-0.3203091982695627
31580,"Madisonville, KY Micro Area",2014,19539,554.2266182157838,35.2545319149443,3.590564391829833,1.7736427080398305,0.1299107578625308,0.20930066544518855,0.05030963713598444,0.0036849378166743437,0.005936844260197554,0.963502260551644,-0.32386040728159404
31580,"Madisonville, KY Micro Area",2015,19388,554.2266182157838,34.98208018664927,3.5830210419331294,1.7718383919584064,0.20388771720091642,0.2868862569464222,0.05064988652774912,0.005828347431400867,0.008200949040643698,0.9686407153597845,-0.3262650375991579
31580,"Madisonville, KY Micro Area",2016,19114,554.2266182157838,34.48769758033909,3.569186089387369,1.6292974215259073,0.21471361368946065,0.23816972274797316,0.047242858637647794,0.006225803076279167,0.006905932824107983,0.9649705178937226,-0.3306284065197704
31580,"Madisonville, KY Micro Area",2017,18920,554.2266182157838,34.13766026054282,3.559273497176865,1.5444945656989775,0.23997403882939722,0.2886905730278463,0.045243128964059194,0.007029598308668076,0.008456659619450317,0.9633400592904809,-0.33371779911319677
31580,"Madisonville, KY Micro Area",2018,18721,554.2266182157838,33.77860136033944,3.549002294211252,1.5517118300246737,0.33018984290059916,0.2489956192365174,0.04593771700229689,0.009775118850488755,0.00737140110036857,0.9631991381682711,-0.3368868152270723
31580,"Madisonville, KY Micro Area",2019,18846,554.2266182157838,34.00414087051744,3.5554663650774807,1.7898815527726468,0.45288333643743384,0.22012656193373278,0.05263716438501539,0.013318476069192401,0.0064735222328345535,0.9595931957599912,-0.334896227215844
31580,"Madisonville, KY Micro Area",2021,18184,554.2266182157838,32.80968362461473,3.5207472592259905,1.8873146211695448,0.6549667375569262,0.18764887246810008,0.0575230972283326,0.019962604487461504,0.005719313682358117,0.9669780535926538,-0.34543838132330923
31580,"Madisonville, KY Micro Area",2022,18087,554.2266182157838,32.6346649647166,3.5155572305157126,2.0136167468692276,0.6820314787782868,0.13712802218822698,0.061701774755349145,0.020898988223586,0.0042019129761707305,0.9722359357880062,-0.3469830776200224
31580,"Madisonville, KY Micro Area",2023,18374,554.2266182157838,33.152503680085296,3.5308358975339917,2.040681488090588,0.6387278928241099,0.1569754990838914,0.06155437030586699,0.019266354631544573,0.004734951561989768,0.9717529605613888,-0.34241268754624216
31580,"Madisonville, KY Micro Area",2024,18174,554.2266182157838,32.79164046380049,3.52021344834326,1.6870355361314766,0.6964660074296791,0.1299107578625308,0.051447122262572906,0.021239132827115658,0.003961703532518983,0.9762401241249485,-0.34559762836420743
31620,"Magnolia, AR Micro Area",2011,9896,767.2978915847933,12.89720734089415,2.631687909224343,0.4118348342484389,0.172032272534158,0.05734409084471934,0.03193209377526273,0.01333872271624899,0.00444624090541633,0.9733138545480924,-0.5211838040785469
31620,"Magnolia, AR Micro Area",2012,9523,767.2978915847933,12.41108584350596,2.5960816666855715,0.44050687967079855,0.17724537170185978,0.036491694173912306,0.035493016906437046,0.01428121390318177,0.002940249921243306,0.973089695717699,-0.5254742613201078
31620,"Magnolia, AR Micro Area",2013,9697,767.2978915847933,12.637855657300987,2.612849430181254,0.3623103921552722,0.18897484482918875,0.03779496896583775,0.02866866041043622,0.0149530782716304,0.00299061565432608,0.9740475587362145,-0.5234728147784681
31620,"Magnolia, AR Micro Area",2014,10182,767.2978915847933,13.269943931384825,2.658155502355926,0.47048219988508366,0.23458946254657911,0.03388514459006143,0.03545472402278531,0.01767825574543312,0.0025535258298958947,0.9727918008914248,-0.517894070107806
31620,"Magnolia, AR Micro Area",2015,10491,767.2978915847933,13.672655842089787,2.6859856147665675,0.4639658259254565,0.16290934899067994,0.10947508252173692,0.03393384806024211,0.011914974740253551,0.008006863025450386,0.9727691753272893,-0.5143397771114459
31620,"Magnolia, AR Micro Area",2016,10165,767.2978915847933,13.247788259922093,2.6566016848383387,0.4678756503012328,0.08992596064285532,0.10295870856210973,0.035317265125430396,0.0067879980324643385,0.007771765863256272,0.9729131601085774,-0.5180896137354374
31620,"Magnolia, AR Micro Area",2017,9877,767.2978915847933,12.872445119847567,2.629904507170993,0.3623103921552722,0.07949976230745182,0.09122923543478077,0.028146198238331477,0.006175964361648274,0.007087172218284904,0.9662940325772108,-0.5214023528388408
31620,"Magnolia, AR Micro Area",2018,9469,767.2978915847933,12.340709004741987,2.5908201878563895,0.3453678198602415,0.0690735639720483,0.08471286147515357,0.027986059773999365,0.005597211954799873,0.0068645052275847504,0.9675229387409896,-0.5260953999019958
31620,"Magnolia, AR Micro Area",2019,8944,767.2978915847933,11.656489738981131,2.5381701064666586,0.1746388221180089,0.06125391522049566,0.06646701438819742,0.01498211091234347,0.005254919499105545,0.005702146690518784,0.9693726378563816,-0.5321342472259085
31620,"Magnolia, AR Micro Area",2021,8970,767.2978915847933,11.690374883571193,2.5408438229425268,0.20591741712421946,0.10295870856210973,0,0.017614269788182833,0.008807134894091417,0,0.9729100097065779,-0.5318351805012956
31620,"Magnolia, AR Micro Area",2022,9232,767.2978915847933,12.031832879055658,2.5673950473267606,0.32972852235713623,0.0690735639720483,0.06516373959627197,0.02740467937608319,0.005740901213171577,0.005415944540727903,0.9725429093928435,-0.5288215081225051
31620,"Magnolia, AR Micro Area",2023,9412,767.2978915847933,12.266422341602237,2.585236206990554,0.43399050571117137,0.1120816321055878,0.06646701438819742,0.03538036549086273,0.009137271568210795,0.005418614534636634,0.9689210602554741,-0.5267510461828778
31620,"Magnolia, AR Micro Area",2024,9674,767.2978915847933,12.607880337086703,2.610649061483961,0.5108837184347723,0.06777028918012286,0.05082771688509214,0.04052098408104197,0.0053752325821790365,0.004031424436634278,0.9685410497581932,-0.5237373738040871
31660,"Malone, NY Micro Area",2011,20808,1694.1898754639938,12.281976360117982,2.586407955273389,1.5476423498764587,0.09857218628122372,0.06610829259579075,0.1260092272202999,0.008025759323337179,0.005382545174932718,0.9232412472851879,-0.5266137680502818
31660,"Malone, NY Micro Area",2012,20553,1694.1898754639938,12.131461943940065,2.5750110259047214,1.6822199455178897,0.10801622808062239,0.05666425079639208,0.13866588819150488,0.008903809662822946,0.004670850970661217,0.9122561022307233,-0.5279421924674684
31660,"Malone, NY Micro Area",2013,20025,1694.1898754639938,11.81980856455991,2.550991518819403,1.7282596492899582,0.0979819336687613,0.0371859145851323,0.14621722846441948,0.008289637952559301,0.003146067415730337,0.9060683209658339,-0.5306928124371727
31660,"Malone, NY Micro Area",2014,20090,1694.1898754639938,11.858174984369967,2.5539797946150693,1.6237849368841104,0.09030864970674987,0.04544945115960614,0.13693379790940766,0.007615729218516675,0.003832752613240418,0.9050777102838125,-0.5303541944484781
31660,"Malone, NY Micro Area",2015,20094,1694.1898754639938,11.860535994819816,2.5541633971648547,1.5913210431986775,0.08381587096966328,0.05843500863377933,0.13416940380213,0.007066786105305066,0.004926843833980293,0.9087350688947178,-0.5303333564184046
